,Open,High,Low,Close,Volume,SMA_20,SMA_50
2000-01-11,0.2959813691507799,0.29302779132130663,0.29024264045096815,0.2940762780632945,5603667.0,0.31605308939895616,0.34198444038771725
2000-01-12,0.2943024263431542,0.2954114524080394,0.29705073391247516,0.2964565864214227,4847867.0,0.31428250743588304,0.3404298807158684
2000-01-13,0.30210138648180235,0.30418765913646456,0.30282399716783315,0.3021909656478225,4612600.0,0.3131067961165049,0.33898394166722146
2000-01-14,0.3173201906412478,0.3217942467089225,0.31507856539854584,0.31609413037598044,6487867.0,0.31279252483304343,0.33798416474828635
2000-01-18,0.3173201906412478,0.31502248225797713,0.3011355899893794,0.3005139302136867,3531067.0,0.31230147595263485,0.336451796386554
2000-01-19,0.30816724436741766,0.3197898044314426,0.31202853952779064,0.3174465783067351,10489800.0,0.3128290027498737,0.33503622439385605
2000-01-20,0.32511915077989595,0.3231485995991115,0.3147517769123935,0.31706789288612386,5180200.0,0.31256523935125435,0.3338308858654202
2000-01-21,0.3169952339688041,0.312313776477599,0.31409819994008875,0.3110089261563429,3440400.0,0.3120208765924014,0.33264890661079133
2000-01-24,0.3196490467937608,0.3153475269516225,0.3117017510416383,0.31133351365972406,4306067.0,0.31075817947135087,0.3317659260608906
2000-01-25,0.31222920277296357,0.3217942467089225,0.31611339560469487,0.3200973762510143,5053267.0,0.310230652674112,0.33100674966216653
2000-01-26,0.32511915077989595,0.33940083428138035,0.3270063451431061,0.34076278063294557,5591067.0,0.3107918513945789,0.3302405654813004
2000-01-27,0.3471078856152513,0.35294436318327105,0.3463957953214782,0.35293481200973753,5443867.0,0.3116701273921096,0.3300221562712059
2000-01-28,0.34775779896013864,0.3424345847554039,0.3358296342692193,0.3312956451176629,5000000.0,0.31128570626858976,0.32893478207549487
2000-01-31,0.3328639514731369,0.35294436318327105,0.33686446447536833,0.35293481200973753,4773467.0,0.31212750434929015,0.3287969623600341
2000-02-01,0.363355719237435,0.3691965978655399,0.36137360093679366,0.36948877468217467,6434000.0,0.31518042538863017,0.3288413449802673
2000-02-02,0.36638864818024264,0.3675172002817054,0.361754854170638,0.3620773600216391,4750800.0,0.31840731803131495,0.3287689312314659
2000-02-03,0.3690966204506066,0.3712010401430197,0.3556003376814357,0.3664592913172842,6133467.0,0.3219849598742915,0.32892310243859135
2000-02-04,0.3636806759098787,0.36274987810823994,0.36273521962909505,0.35866919123613733,3410067.0,0.32487793927829844,0.3291345038665438
2000-02-07,0.36200173310225303,0.3630749228018853,0.36377004983524414,0.3610494995942655,3122800.0,0.3275267972389023,0.3294416783171045
2000-02-08,0.37212954939341425,0.3780269787095726,0.3760246180659568,0.37657560183932914,4212400.0,0.33133172456366805,0.3301424565313114
2000-02-09,0.37689558058925476,0.37932715748415413,0.367528117425996,0.3647822558831484,6545667.0,0.3349991582019194,0.33083622696337617
2000-02-10,0.36709272097053725,0.36513353919497266,0.361754854170638,0.36613470381390306,4587000.0,0.3386132779617263,0.33152298961329896
2000-02-11,0.3677426343154246,0.371905303645918,0.3651316685275455,0.3633757100351636,4701667.0,0.3417868567259667,0.3321338346233492
2000-02-14,0.36232668977469673,0.3634541416111382,0.34911903270608097,0.3441168515012172,3936467.0,0.343240361411976,0.3321338346233492
2000-02-15,0.3504657712305026,0.3583617747440273,0.35216905857683617,0.35493643494725446,5977000.0,0.34606319097592464,0.33202404603645685
